Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Fdate,Continent,Continent_name
Canada,64.8255,-124.8457,5/12/20,5,0,0,2020-05-12,,North America
Canada,64.2823,-135.0,5/12/20,11,0,0,2020-05-12,,North America
Kosovo,42.602636,20.902977,5/12/20,919,29,671,2020-05-12,EU,Europe
Myanmar,21.9162,95.956,5/12/20,180,6,76,2020-05-12,AS,Asia
United Kingdom,18.2206,-63.0686,5/12/20,3,0,3,2020-05-12,EU,Europe
United Kingdom,18.4207,-64.64,5/12/20,7,1,4,2020-05-12,EU,Europe
United Kingdom,21.694000000000006,-71.7979,5/12/20,12,1,8,2020-05-12,EU,Europe
MS Zaandam,0.0,0.0,5/12/20,9,2,0,2020-05-12,EU,Europe
Botswana,-22.3285,24.6849,5/12/20,24,1,17,2020-05-12,AF,Africa
Burundi,-3.3731,29.9189,5/12/20,15,1,7,2020-05-12,AF,Africa
Sierra Leone,8.460555000000001,-11.779889,5/12/20,338,19,72,2020-05-12,AF,Africa
Malawi,-13.254307999999998,34.301525,5/12/20,57,3,24,2020-05-12,AF,Africa
United Kingdom,-51.7963,-59.5236,5/12/20,13,0,13,2020-05-12,EU,Europe
France,46.8852,-56.3159,5/12/20,1,0,1,2020-05-12,EU,Europe
South Sudan,6.877000000000002,31.307,5/12/20,194,0,2,2020-05-12,AF,Africa
Western Sahara,24.2155,-12.8858,5/12/20,6,0,6,2020-05-12,AS,Asia
Sao Tome and Principe,0.18636,6.613081,5/12/20,208,5,4,2020-05-12,AF,Africa
Yemen,15.552727,48.516388,5/12/20,65,10,1,2020-05-12,AS,Asia
Comoros,-11.6455,43.3333,5/12/20,11,1,0,2020-05-12,AF,Africa
Tajikistan,38.861034,71.276093,5/12/20,729,21,0,2020-05-12,AS,Asia
Lesotho,-29.609988,28.233608,5/12/20,0,0,0,2020-05-12,AF,Africa
Afghanistan,33.0,65.0,5/13/20,5226,132,648,2020-05-13,AS,Asia
Albania,41.1533,20.1683,5/13/20,880,31,688,2020-05-13,EU,Europe
Algeria,28.0339,1.6596,5/13/20,6253,522,3058,2020-05-13,AF,Africa
Andorra,42.5063,1.5218,5/13/20,760,49,576,2020-05-13,EU,Europe
Angola,-11.2027,17.8739,5/13/20,45,2,14,2020-05-13,AF,Africa
Antigua and Barbuda,17.0608,-61.7964,5/13/20,25,3,19,2020-05-13,,North America
Argentina,-38.4161,-63.6167,5/13/20,6879,329,2266,2020-05-13,SA,South America
Armenia,40.0691,45.0382,5/13/20,3718,48,1500,2020-05-13,AS,Asia
Australia,-35.4735,149.0124,5/13/20,107,3,104,2020-05-13,OC,Oceania
Australia,-33.8688,151.2093,5/13/20,3063,45,2595,2020-05-13,OC,Oceania
Australia,-12.4634,130.8456,5/13/20,29,0,27,2020-05-13,OC,Oceania
Australia,-28.0167,153.4,5/13/20,1051,6,1030,2020-05-13,OC,Oceania
Australia,-34.9285,138.6007,5/13/20,439,4,434,2020-05-13,OC,Oceania
Australia,-41.4545,145.9707,5/13/20,227,13,184,2020-05-13,OC,Oceania
Australia,-37.8136,144.9631,5/13/20,1521,18,1385,2020-05-13,OC,Oceania
Australia,-31.9505,115.8605,5/13/20,552,9,538,2020-05-13,OC,Oceania
Australia,47.5162,14.5501,5/13/20,15997,624,14304,2020-05-13,OC,Oceania
Azerbaijan,40.1431,47.5769,5/13/20,2758,35,1789,2020-05-13,AS,Asia
Bahamas,25.0343,-77.3963,5/13/20,94,11,41,2020-05-13,,North America
Bahrain,26.0275,50.55,5/13/20,5816,10,2205,2020-05-13,AS,Asia
Bangladesh,23.685,90.3563,5/13/20,17822,269,3361,2020-05-13,AS,Asia
Barbados,13.1939,-59.5432,5/13/20,85,7,65,2020-05-13,,North America
United States,53.7098,27.9534,5/13/20,25825,146,7711,2020-05-13,,North America
Belgium,50.8333,4.0,5/13/20,53981,8843,13937,2020-05-13,EU,Europe
Benin,9.3077,2.3158,5/13/20,327,2,83,2020-05-13,AF,Africa
Bhutan,27.5142,90.4336,5/13/20,15,0,5,2020-05-13,AS,Asia
Bolivia,-16.2902,-63.5887,5/13/20,3148,142,339,2020-05-13,SA,South America
Bosnia and Herzegovina,43.9159,17.6791,5/13/20,2181,120,1228,2020-05-13,EU,Europe
Brazil,-14.235,-51.9253,5/13/20,190137,13240,78424,2020-05-13,SA,South America
Brunei,4.5353,114.7277,5/13/20,141,1,134,2020-05-13,AS,Asia
Bulgaria,42.7339,25.4858,5/13/20,2069,96,499,2020-05-13,EU,Europe
