Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Fdate,Continent,Continent_name_x,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_100k,Continent_code,Continent_name_y
Armenia,40.0691,45.0382,5/15/20,4044,52,1666,2020-05-15,AS,Asia,Armenia,2020-05-15,3.86,142,0.049,1,1302.631,47.92100000000001,16.535999999999998,0.337,2963234.0,102.931,35.7,11.232000000000001,7.5710000000000015,8787.58,341.01,7.11,1.5,52.1,4.2,AS,Asia
Luxembourg,49.8153,6.1296,5/15/20,3923,104,3682,2020-05-15,EU,Europe,Luxembourg,2020-05-15,3.915,11,0.103,0,6254.233,17.573,164.543,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,128.275,4.42,20.9,26.0,4.51,EU,Europe
Bolivia,-16.2902,-63.5887,5/15/20,3577,164,434,2020-05-15,SA,South America,Bolivia,2020-05-15,3.372,224,0.152,10,288.871,19.19,13.020999999999999,0.857,11673029.0,10.202,25.4,6.704,4.393,6885.829000000002,204.299,6.89,1.9,24.7,1.1,SA,South America
Hungary,47.1625,19.5033,5/15/20,3417,442,1287,2020-05-15,EU,Europe,Hungary,2020-05-15,3.417,37,0.442,6,353.714,3.83,45.754,0.621,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,278.296,7.55,26.8,34.8,7.02,EU,Europe
Iraq,33.0,44.0,5/15/20,3193,117,2089,2020-05-15,AS,Asia,Iraq,2020-05-15,3.143,111,0.115,0,78.14,2.76,2.859,0.0,40222503.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,218.612,8.83,1.9,24.7,1.4,AS,Asia
Cameroon,3.848,11.5021,5/15/20,3105,140,1567,2020-05-15,AF,Africa,Cameroon,2020-05-15,2.954,154,0.139,3,111.279,5.801,5.2360000000000015,0.113,26545864.0,50.885,18.8,3.165,1.919,3364.926,244.66099999999997,7.2,1.9,24.7,1.3,AF,Africa
Australia,-33.8688,151.2093,5/15/20,3074,45,2611,2020-05-15,OC,Oceania,Australia,2020-05-15,6.989,14,0.098,0,274.08,0.5489999999999999,3.843,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,107.791,5.07,13.0,16.5,3.84,OC,Oceania
Thailand,15.0,101.0,5/15/20,3025,56,2854,2020-05-15,AS,Asia,Thailand,2020-05-15,3.018,1,0.056,0,43.238,0.013999999999999999,0.802,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,2.1,AS,Asia
Azerbaijan,40.1431,47.5769,5/15/20,2980,36,1886,2020-05-15,AS,Asia,Azerbaijan,2020-05-15,2.879,121,0.035,0,283.948,11.934000000000001,3.452,0.0,10139175.0,119.309,32.4,6.018,3.8710000000000004,15847.419,559.812,7.11,0.3,42.5,4.7,AS,Asia
Greece,39.0742,21.8243,5/15/20,2810,160,1374,2020-05-15,EU,Europe,Greece,2020-05-15,2.77,10,0.156,1,265.757,0.9590000000000001,14.967,0.096,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,175.695,4.55,35.3,52.0,4.21,EU,Europe
Uzbekistan,41.3775,64.5853,5/15/20,2686,11,2158,2020-05-15,AS,Asia,Uzbekistan,2020-05-15,2.645,33,0.011,0,79.028,0.986,0.32899999999999996,0.0,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,724.4169999999997,7.57,1.3,24.7,4.0,AS,Asia
Guinea,9.9456,-9.6966,5/15/20,2473,15,895,2020-05-15,AF,Africa,Guinea,2020-05-15,2.4730000000000003,99,0.014,0,188.30700000000002,7.5379999999999985,1.0659999999999998,0.0,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,336.717,2.42,1.9,24.7,0.3,AF,Africa
Honduras,15.2,-86.2419,5/15/20,2460,134,264,2020-05-15,,North America,Honduras,2020-05-15,2.318,63,0.133,10,234.032,6.3610000000000015,13.427999999999999,1.01,9904608.0,82.805,24.9,4.652,2.883,4541.795,240.208,7.21,2.0,24.7,0.7,,North America
Canada,49.2827,-123.1207,5/15/20,2407,140,0,2020-05-15,,North America,Canada,2020-05-15,73.40100000000002,1123,5.472,168,1944.8010000000002,29.755,144.984,4.4510000000000005,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,105.59899999999999,7.37,12.0,16.6,2.5,,North America
Senegal,14.4974,-14.4524,5/15/20,2310,25,890,2020-05-15,AF,Africa,Senegal,2020-05-15,2.189,84,0.023,1,130.734,5.0169999999999995,1.374,0.06,16743930.0,82.32799999999997,18.7,3.008,1.796,2470.58,241.21900000000002,2.42,0.4,16.6,0.7,AF,Africa
Bosnia and Herzegovina,43.9159,17.6791,5/15/20,2236,128,1336,2020-05-15,EU,Europe,Bosnia and Herzegovina,2020-05-15,2.216,35,0.123,3,675.442,10.668,37.491,0.914,3280815.0,68.49600000000001,42.5,16.569000000000006,10.710999999999999,11713.895,329.635,10.08,30.2,47.7,3.5,EU,Europe
Croatia,45.1,15.2,5/15/20,2222,95,1869,2020-05-15,EU,Europe,Croatia,2020-05-15,2.221,8,0.094,0,541.012,1.949,22.897,0.0,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,253.782,5.59,34.3,39.9,5.54,EU,Europe
Bulgaria,42.7339,25.4858,5/15/20,2138,102,545,2020-05-15,EU,Europe,Bulgaria,2020-05-15,2.1,31,0.099,3,302.226,4.461,14.248,0.4320000000000001,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.68800000000016,5.81,30.1,44.4,7.454,EU,Europe
Sudan,12.8628,30.2176,5/15/20,1964,91,205,2020-05-15,AF,Africa,Sudan,2020-05-15,1.964,146,0.091,1,44.79,3.33,2.075,0.023,43849269.0,23.25800000000001,19.7,3.548,2.0340000000000003,4466.507000000001,431.38800000000003,15.67,1.9,24.7,0.8,AF,Africa
Cuba,22.0,-80.0,5/15/20,1840,79,1425,2020-05-15,,North America,Cuba,2020-05-15,1.83,20,0.079,0,161.566,1.766,6.975,0.0,11326616.0,110.40799999999999,43.1,14.738,9.719,661.24,190.968,8.27,17.1,53.3,5.2,,North America
Iceland,64.9631,-19.0208,5/15/20,1802,10,1782,2020-05-15,EU,Europe,Iceland,2020-05-15,1.802,0,0.01,0,5280.585999999998,0.0,29.304000000000002,0.0,341250.0,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,2.91,EU,Europe
