Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Fdate,Continent,Continent_name
United Kingdom,55.3781,-3.4360000000000004,1/22/20,0,0,0,2020-01-22,EU,Europe
Uruguay,-32.5228,-55.7658,1/22/20,0,0,0,2020-01-22,SA,South America
United States,37.0902,-95.7129,1/22/20,1,0,0,2020-01-22,NA,North America
Uzbekistan,41.3775,64.5853,1/22/20,0,0,0,2020-01-22,AS,Asia
Venezuela,6.4238,-66.5897,1/22/20,0,0,0,2020-01-22,SA,South America
Vietnam,16.0,108.0,1/22/20,0,0,0,2020-01-22,AS,Asia
Zambia,-15.4167,28.2833,1/22/20,0,0,0,2020-01-22,AF,Africa
Zimbabwe,-20.0,30.0,1/22/20,0,0,0,2020-01-22,AF,Africa
Canada,0.0,0.0,1/22/20,0,0,0,2020-01-22,NA,North America
Dominica,15.415,-61.371,1/22/20,0,0,0,2020-01-22,NA,North America
Grenada,12.1165,-61.678999999999995,1/22/20,0,0,0,2020-01-22,NA,North America
Mozambique,-18.665695,35.529562,1/22/20,0,0,0,2020-01-22,AF,Africa
Syria,34.802075,38.996815000000005,1/22/20,0,0,0,2020-01-22,AS,Asia
Timor-Leste,-8.874217,125.727539,1/22/20,0,0,0,2020-01-22,AS,Asia
Belize,13.1939,-59.5432,1/22/20,0,0,0,2020-01-22,NA,North America
Laos,19.856270000000002,102.495496,1/22/20,0,0,0,2020-01-22,AS,Asia
Libya,26.3351,17.228331,1/22/20,0,0,0,2020-01-22,AF,Africa
Palestine,31.9522,35.2332,1/22/20,0,0,0,2020-01-22,AS,Asia
Guinea-Bissau,11.8037,-15.1804,1/22/20,0,0,0,2020-01-22,AF,Africa
Mali,17.570692,-3.9961660000000006,1/22/20,0,0,0,2020-01-22,AF,Africa
Saint Kitts and Nevis,17.357822,-62.782998,1/22/20,0,0,0,2020-01-22,NA,North America
Canada,64.8255,-124.8457,1/22/20,0,0,0,2020-01-22,NA,North America
Canada,64.2823,-135.0,1/22/20,0,0,0,2020-01-22,NA,North America
Kosovo,42.602636,20.902977,1/22/20,0,0,0,2020-01-22,EU,Europe
Myanmar,21.9162,95.956,1/22/20,0,0,0,2020-01-22,AS,Asia
United Kingdom,18.2206,-63.0686,1/22/20,0,0,0,2020-01-22,EU,Europe
United Kingdom,18.4207,-64.64,1/22/20,0,0,0,2020-01-22,EU,Europe
United Kingdom,21.694000000000003,-71.7979,1/22/20,0,0,0,2020-01-22,EU,Europe
MS Zaandam,0.0,0.0,1/22/20,0,0,0,2020-01-22,EU,Europe
Botswana,-22.3285,24.6849,1/22/20,0,0,0,2020-01-22,AF,Africa
Burundi,-3.3731,29.9189,1/22/20,0,0,0,2020-01-22,AF,Africa
Sierra Leone,8.460555000000001,-11.779889,1/22/20,0,0,0,2020-01-22,AF,Africa
Malawi,-13.254307999999998,34.301525,1/22/20,0,0,0,2020-01-22,AF,Africa
United Kingdom,-51.7963,-59.5236,1/22/20,0,0,0,2020-01-22,EU,Europe
France,46.8852,-56.3159,1/22/20,0,0,0,2020-01-22,EU,Europe
South Sudan,6.877000000000001,31.307,1/22/20,0,0,0,2020-01-22,AF,Africa
Western Sahara,24.2155,-12.8858,1/22/20,0,0,0,2020-01-22,AS,Asia
Sao Tome and Principe,0.18636,6.613081,1/22/20,0,0,0,2020-01-22,AF,Africa
Yemen,15.552726999999999,48.516388,1/22/20,0,0,0,2020-01-22,AS,Asia
